City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,Just Add Honey Tea Company,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Just%20Add%20Honey%20Tea%20Company%20Atlanta,Keep,
Atlanta,Just Cutz Barber Shop,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Just%20Cutz%20Barber%20Shop%20Atlanta,Keep,
Atlanta,K & K Soul Food,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=K%20%26%20K%20Soul%20Food%20Atlanta,Keep,
Atlanta,Life Bistro,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Life%20Bistro%20Atlanta,Keep,
Atlanta,Liquid Soul,Atlanta,social-media-marketing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Liquid%20Soul%20Atlanta,Keep,
Atlanta,Mahone Studios,Atlanta,photography-videography,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Mahone%20Studios%20Atlanta,Keep,
Atlanta,Midtown Dental Center,Atlanta,healthcare,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Midtown%20Dental%20Center%20Atlanta,Keep,
Atlanta,Miss Conduck,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Miss%20Conduck%20Atlanta,Keep,
Atlanta,Mogul Grooming Co.,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Mogul%20Grooming%20Co.%20Atlanta,Keep,
Atlanta,Mr. Everything Cafe,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Mr.%20Everything%20Cafe%20Atlanta,Keep,
Atlanta,Nail Favor Salon & Spa,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Nail%20Favor%20Salon%20%26%20Spa%20Atlanta,Keep,
